year,Delia
1880,129
1881,111
1882,143
1883,162
1884,145
1885,155
1886,169
1887,150
1888,200
1889,182
1890,197
1891,177
1892,203
1893,194
1894,172
1895,193
1896,190
1897,186
1898,179
1899,180
1900,231
1901,164
1902,132
1903,145
1904,184
1905,171
1906,125
1907,162
1908,168
1909,147
1910,149
1911,170
1912,171
1913,198
1914,248
1915,280
1916,267
1917,283
1918,294
1919,300
1920,282
1921,271
1922,247
1923,293
1924,289
1925,274
1926,282
1927,293
1928,303
1929,301
1930,294
1931,310
1932,296
1933,333
1934,290
1935,272
1936,257
1937,284
1938,271
1939,267
1940,261
1941,284
1942,327
1943,305
1944,286
1945,271
1946,336
1947,377
1948,362
1949,412
1950,403
1951,423
1952,452
1953,480
1954,458
1955,461
1956,480
1957,491
1958,456
1959,487
1960,479
1961,468
1962,414
1963,437
1964,433
1965,363
1966,340
1967,314
1968,311
1969,298
1970,332
1971,306
1972,297
1973,307
1974,240
1975,271
1976,325
1977,339
1978,288
1979,280
1980,285
1981,253
1982,223
1983,266
1984,202
1985,183
1986,201
1987,198
1988,187
1989,219
1990,246
1991,230
1992,198
1993,226
1994,172
1995,217
1996,187
1997,232
1998,246
1999,236
2000,221
2001,205
2002,198
2003,248
2004,247
2005,260
2006,237
2007,270
2008,229
2009,227
2010,244
2011,249
2012,217
