year,Delma
1880,0
1881,0
1882,0
1883,0
1884,8
1885,5
1886,5
1887,7
1888,0
1889,11
1890,0
1891,6
1892,6
1893,10
1894,16
1895,16
1896,18
1897,16
1898,22
1899,19
1900,27
1901,23
1902,26
1903,28
1904,23
1905,45
1906,57
1907,72
1908,54
1909,60
1910,68
1911,73
1912,83
1913,128
1914,155
1915,178
1916,152
1917,168
1918,198
1919,192
1920,177
1921,191
1922,219
1923,230
1924,227
1925,207
1926,251
1927,210
1928,213
1929,198
1930,168
1931,179
1932,185
1933,198
1934,192
1935,187
1936,181
1937,184
1938,162
1939,149
1940,146
1941,140
1942,133
1943,137
1944,111
1945,112
1946,119
1947,129
1948,122
1949,112
1950,117
1951,108
1952,101
1953,123
1954,136
1955,142
1956,123
1957,122
1958,138
1959,115
1960,103
1961,101
1962,96
1963,95
1964,86
1965,94
1966,73
1967,75
1968,65
1969,63
1970,57
1971,56
1972,41
1973,32
1974,30
1975,34
1976,31
1977,32
1978,33
1979,28
1980,22
1981,25
1982,32
1983,22
1984,11
1985,14
1986,8
1987,12
1988,10
1989,14
1990,14
1991,11
1992,5
1993,9
1994,11
1995,7
1996,0
1997,8
1998,5
1999,9
2000,0
2001,9
2002,7
2003,0
2004,0
2005,6
2006,0
2007,7
2008,5
2009,0
2010,0
2011,0
2012,5
