year,Duke
1880,7
1881,5
1882,0
1883,5
1884,5
1885,0
1886,5
1887,0
1888,8
1889,0
1890,7
1891,5
1892,6
1893,6
1894,5
1895,7
1896,5
1897,9
1898,9
1899,8
1900,11
1901,5
1902,7
1903,0
1904,8
1905,6
1906,5
1907,5
1908,13
1909,11
1910,13
1911,15
1912,20
1913,19
1914,17
1915,35
1916,37
1917,40
1918,39
1919,41
1920,33
1921,31
1922,41
1923,27
1924,35
1925,45
1926,43
1927,45
1928,40
1929,22
1930,33
1931,40
1932,19
1933,31
1934,28
1935,22
1936,38
1937,46
1938,46
1939,41
1940,45
1941,47
1942,41
1943,46
1944,28
1945,35
1946,43
1947,47
1948,59
1949,38
1950,60
1951,49
1952,50
1953,52
1954,75
1955,85
1956,104
1957,108
1958,89
1959,105
1960,98
1961,70
1962,76
1963,100
1964,89
1965,70
1966,84
1967,73
1968,62
1969,76
1970,78
1971,75
1972,56
1973,62
1974,55
1975,44
1976,43
1977,36
1978,36
1979,69
1980,46
1981,41
1982,43
1983,44
1984,36
1985,36
1986,33
1987,55
1988,63
1989,50
1990,59
1991,43
1992,65
1993,75
1994,63
1995,55
1996,44
1997,59
1998,49
1999,54
2000,55
2001,52
2002,59
2003,74
2004,62
2005,75
2006,89
2007,96
2008,103
2009,89
2010,141
2011,146
2012,159
