year,Doretta
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,5
1889,0
1890,6
1891,7
1892,6
1893,5
1894,5
1895,11
1896,0
1897,0
1898,7
1899,6
1900,8
1901,0
1902,7
1903,9
1904,7
1905,7
1906,11
1907,10
1908,13
1909,0
1910,9
1911,8
1912,9
1913,19
1914,15
1915,18
1916,22
1917,27
1918,29
1919,30
1920,30
1921,27
1922,28
1923,34
1924,39
1925,35
1926,36
1927,31
1928,29
1929,32
1930,32
1931,26
1932,28
1933,22
1934,45
1935,30
1936,27
1937,43
1938,39
1939,38
1940,29
1941,36
1942,38
1943,31
1944,30
1945,22
1946,28
1947,44
1948,36
1949,28
1950,33
1951,41
1952,85
1953,109
1954,87
1955,62
1956,65
1957,97
1958,75
1959,87
1960,42
1961,47
1962,42
1963,43
1964,35
1965,33
1966,35
1967,29
1968,15
1969,25
1970,25
1971,20
1972,21
1973,12
1974,12
1975,11
1976,7
1977,12
1978,0
1979,9
1980,10
1981,0
1982,0
1983,8
1984,6
1985,0
1986,7
1987,0
1988,8
1989,7
1990,7
1991,6
1992,0
1993,10
1994,5
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,5
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
