year,Davie
1880,6
1881,0
1882,5
1883,0
1884,0
1885,7
1886,0
1887,0
1888,0
1889,0
1890,6
1891,0
1892,7
1893,0
1894,13
1895,0
1896,0
1897,5
1898,0
1899,0
1900,9
1901,5
1902,6
1903,5
1904,5
1905,0
1906,6
1907,0
1908,12
1909,14
1910,10
1911,14
1912,16
1913,19
1914,27
1915,36
1916,28
1917,30
1918,41
1919,60
1920,43
1921,49
1922,44
1923,54
1924,35
1925,36
1926,49
1927,40
1928,34
1929,74
1930,68
1931,52
1932,51
1933,50
1934,46
1935,44
1936,40
1937,36
1938,32
1939,40
1940,40
1941,44
1942,56
1943,51
1944,44
1945,46
1946,52
1947,35
1948,46
1949,43
1950,56
1951,61
1952,58
1953,43
1954,47
1955,69
1956,45
1957,59
1958,46
1959,67
1960,57
1961,63
1962,52
1963,56
1964,43
1965,45
1966,38
1967,49
1968,48
1969,51
1970,42
1971,42
1972,41
1973,18
1974,26
1975,31
1976,40
1977,30
1978,41
1979,27
1980,31
1981,25
1982,24
1983,26
1984,25
1985,28
1986,26
1987,39
1988,25
1989,20
1990,32
1991,19
1992,11
1993,24
1994,15
1995,17
1996,19
1997,14
1998,14
1999,20
2000,23
2001,13
2002,16
2003,21
2004,21
2005,16
2006,14
2007,18
2008,20
2009,24
2010,21
2011,14
2012,9
