year,Dennie
1880,0
1881,5
1882,6
1883,6
1884,6
1885,6
1886,11
1887,5
1888,12
1889,5
1890,8
1891,7
1892,10
1893,0
1894,5
1895,9
1896,6
1897,11
1898,0
1899,10
1900,5
1901,7
1902,0
1903,7
1904,6
1905,0
1906,6
1907,13
1908,14
1909,0
1910,0
1911,10
1912,16
1913,19
1914,35
1915,29
1916,40
1917,33
1918,45
1919,28
1920,36
1921,43
1922,40
1923,42
1924,33
1925,42
1926,45
1927,49
1928,33
1929,37
1930,44
1931,50
1932,51
1933,39
1934,54
1935,65
1936,52
1937,53
1938,72
1939,75
1940,65
1941,69
1942,80
1943,86
1944,80
1945,92
1946,114
1947,95
1948,71
1949,81
1950,86
1951,99
1952,91
1953,73
1954,83
1955,102
1956,88
1957,79
1958,93
1959,94
1960,72
1961,78
1962,65
1963,64
1964,67
1965,65
1966,59
1967,65
1968,60
1969,75
1970,52
1971,55
1972,53
1973,44
1974,38
1975,49
1976,33
1977,37
1978,28
1979,34
1980,31
1981,18
1982,17
1983,22
1984,23
1985,31
1986,16
1987,20
1988,23
1989,7
1990,17
1991,15
1992,8
1993,11
1994,9
1995,9
1996,10
1997,0
1998,7
1999,5
2000,6
2001,0
2002,0
2003,0
2004,6
2005,0
2006,0
2007,5
2008,0
2009,0
2010,0
2011,0
2012,7
