year,Dea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,5
1915,5
1916,7
1917,6
1918,9
1919,6
1920,6
1921,13
1922,9
1923,8
1924,5
1925,6
1926,0
1927,0
1928,8
1929,5
1930,0
1931,8
1932,8
1933,5
1934,0
1935,0
1936,0
1937,11
1938,6
1939,0
1940,8
1941,15
1942,12
1943,15
1944,12
1945,7
1946,18
1947,10
1948,16
1949,20
1950,16
1951,16
1952,22
1953,28
1954,20
1955,31
1956,20
1957,41
1958,19
1959,36
1960,30
1961,38
1962,28
1963,45
1964,42
1965,31
1966,37
1967,32
1968,27
1969,30
1970,23
1971,25
1972,32
1973,15
1974,18
1975,28
1976,36
1977,32
1978,31
1979,33
1980,28
1981,20
1982,21
1983,19
1984,21
1985,13
1986,17
1987,10
1988,11
1989,9
1990,7
1991,11
1992,0
1993,5
1994,10
1995,9
1996,7
1997,8
1998,0
1999,14
2000,12
2001,16
2002,18
2003,17
2004,15
2005,19
2006,18
2007,23
2008,19
2009,19
2010,18
2011,17
2012,16
