year,Daisey
1880,11
1881,6
1882,5
1883,5
1884,6
1885,5
1886,9
1887,0
1888,9
1889,10
1890,8
1891,9
1892,8
1893,7
1894,9
1895,12
1896,18
1897,0
1898,11
1899,9
1900,12
1901,10
1902,10
1903,11
1904,18
1905,9
1906,7
1907,16
1908,14
1909,16
1910,14
1911,13
1912,18
1913,16
1914,17
1915,22
1916,18
1917,16
1918,27
1919,29
1920,27
1921,21
1922,13
1923,28
1924,22
1925,14
1926,16
1927,27
1928,21
1929,19
1930,10
1931,16
1932,12
1933,16
1934,20
1935,23
1936,17
1937,17
1938,22
1939,8
1940,18
1941,8
1942,14
1943,13
1944,11
1945,16
1946,16
1947,8
1948,15
1949,14
1950,16
1951,17
1952,16
1953,13
1954,10
1955,10
1956,18
1957,12
1958,12
1959,15
1960,10
1961,14
1962,11
1963,15
1964,13
1965,12
1966,7
1967,11
1968,10
1969,16
1970,6
1971,7
1972,6
1973,8
1974,8
1975,15
1976,10
1977,5
1978,6
1979,12
1980,16
1981,27
1982,11
1983,23
1984,19
1985,16
1986,13
1987,16
1988,20
1989,30
1990,31
1991,21
1992,22
1993,25
1994,33
1995,34
1996,30
1997,39
1998,53
1999,46
2000,55
2001,41
2002,40
2003,42
2004,27
2005,27
2006,37
2007,31
2008,22
2009,31
2010,24
2011,30
2012,24
