year,Deane
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,6
1893,0
1894,0
1895,6
1896,5
1897,0
1898,5
1899,0
1900,0
1901,0
1902,6
1903,0
1904,7
1905,0
1906,8
1907,0
1908,0
1909,5
1910,7
1911,0
1912,17
1913,24
1914,18
1915,37
1916,47
1917,40
1918,45
1919,70
1920,53
1921,62
1922,65
1923,80
1924,71
1925,83
1926,71
1927,69
1928,68
1929,81
1930,72
1931,76
1932,78
1933,80
1934,78
1935,62
1936,68
1937,59
1938,51
1939,44
1940,60
1941,55
1942,51
1943,60
1944,64
1945,49
1946,68
1947,96
1948,54
1949,75
1950,58
1951,79
1952,58
1953,58
1954,48
1955,51
1956,48
1957,56
1958,60
1959,51
1960,40
1961,45
1962,45
1963,59
1964,50
1965,47
1966,59
1967,41
1968,53
1969,65
1970,54
1971,41
1972,40
1973,22
1974,33
1975,27
1976,17
1977,16
1978,24
1979,21
1980,16
1981,19
1982,19
1983,16
1984,13
1985,13
1986,17
1987,13
1988,11
1989,9
1990,17
1991,18
1992,10
1993,13
1994,10
1995,13
1996,11
1997,7
1998,6
1999,7
2000,0
2001,0
2002,0
2003,0
2004,7
2005,0
2006,6
2007,0
2008,0
2009,0
2010,6
2011,5
2012,0
