year,Dovie
1880,30
1881,31
1882,31
1883,40
1884,56
1885,41
1886,50
1887,54
1888,63
1889,62
1890,86
1891,96
1892,89
1893,79
1894,104
1895,93
1896,86
1897,95
1898,124
1899,87
1900,154
1901,94
1902,109
1903,129
1904,129
1905,141
1906,125
1907,133
1908,132
1909,114
1910,115
1911,122
1912,175
1913,153
1914,182
1915,197
1916,175
1917,235
1918,194
1919,206
1920,194
1921,201
1922,187
1923,181
1924,167
1925,146
1926,149
1927,144
1928,142
1929,111
1930,137
1931,117
1932,129
1933,124
1934,114
1935,99
1936,82
1937,83
1938,83
1939,75
1940,85
1941,65
1942,65
1943,74
1944,65
1945,66
1946,67
1947,65
1948,56
1949,54
1950,44
1951,45
1952,47
1953,51
1954,46
1955,39
1956,31
1957,39
1958,41
1959,39
1960,23
1961,51
1962,44
1963,35
1964,37
1965,28
1966,27
1967,17
1968,17
1969,18
1970,19
1971,16
1972,17
1973,15
1974,13
1975,15
1976,15
1977,16
1978,13
1979,12
1980,20
1981,12
1982,15
1983,10
1984,9
1985,11
1986,12
1987,11
1988,0
1989,5
1990,13
1991,10
1992,8
1993,8
1994,13
1995,10
1996,5
1997,5
1998,6
1999,5
2000,10
2001,7
2002,0
2003,0
2004,8
2005,7
2006,0
2007,10
2008,7
2009,8
2010,10
2011,8
2012,6
