year,Dell
1880,24
1881,25
1882,23
1883,24
1884,27
1885,14
1886,25
1887,15
1888,27
1889,20
1890,25
1891,20
1892,35
1893,22
1894,24
1895,26
1896,28
1897,17
1898,26
1899,17
1900,28
1901,14
1902,36
1903,19
1904,39
1905,14
1906,20
1907,29
1908,29
1909,20
1910,43
1911,35
1912,43
1913,56
1914,54
1915,75
1916,86
1917,75
1918,101
1919,80
1920,71
1921,76
1922,90
1923,87
1924,86
1925,68
1926,80
1927,78
1928,71
1929,67
1930,57
1931,84
1932,67
1933,95
1934,82
1935,83
1936,69
1937,72
1938,68
1939,99
1940,68
1941,90
1942,85
1943,78
1944,79
1945,90
1946,87
1947,109
1948,98
1949,96
1950,100
1951,79
1952,104
1953,133
1954,126
1955,120
1956,128
1957,132
1958,115
1959,123
1960,119
1961,104
1962,95
1963,81
1964,80
1965,83
1966,87
1967,78
1968,57
1969,54
1970,74
1971,45
1972,54
1973,27
1974,25
1975,35
1976,17
1977,20
1978,25
1979,16
1980,15
1981,23
1982,22
1983,14
1984,22
1985,15
1986,10
1987,17
1988,10
1989,10
1990,21
1991,14
1992,8
1993,12
1994,8
1995,15
1996,0
1997,8
1998,10
1999,12
2000,14
2001,9
2002,12
2003,6
2004,9
2005,14
2006,5
2007,0
2008,5
2009,7
2010,7
2011,0
2012,8
