year,Daniel (F),Daniel (M)
1880,0.000000,0.003191
1881,0.000000,0.002735
1882,0.000000,0.002681
1883,0.000000,0.002835
1884,0.000000,0.002353
1885,0.000000,0.002221
1886,0.000000,0.002174
1887,0.000000,0.002251
1888,0.000000,0.001890
1889,0.000000,0.001782
1890,0.000000,0.001675
1891,0.000000,0.001762
1892,0.000000,0.001594
1893,0.000000,0.001605
1894,0.000000,0.001521
1895,0.000000,0.001470
1896,0.000000,0.001569
1897,0.000000,0.001499
1898,0.000000,0.001371
1899,0.000000,0.001430
1900,0.000016,0.001328
1901,0.000000,0.001203
1902,0.000000,0.001295
1903,0.000000,0.001133
1904,0.000000,0.001170
1905,0.000012,0.001142
1906,0.000000,0.001181
1907,0.000000,0.001137
1908,0.000000,0.001085
1909,0.000000,0.001113
1910,0.000000,0.001171
1911,0.000000,0.001234
1912,0.000006,0.001542
1913,0.000006,0.001652
1914,0.000010,0.001641
1915,0.000005,0.001638
1916,0.000006,0.001629
1917,0.000006,0.001674
1918,0.000009,0.001717
1919,0.000005,0.001671
1920,0.000008,0.001723
1921,0.000007,0.001752
1922,0.000009,0.001871
1923,0.000006,0.001853
1924,0.000012,0.001848
1925,0.000011,0.001950
1926,0.000014,0.001966
1927,0.000015,0.001990
1928,0.000015,0.001962
1929,0.000016,0.001992
1930,0.000010,0.002010
1931,0.000012,0.002070
1932,0.000009,0.002107
1933,0.000008,0.002156
1934,0.000011,0.002168
1935,0.000008,0.002196
1936,0.000009,0.002318
1937,0.000008,0.002406
1938,0.000012,0.002523
1939,0.000010,0.002632
1940,0.000010,0.002701
1941,0.000013,0.002894
1942,0.000010,0.003114
1943,0.000012,0.003249
1944,0.000010,0.003464
1945,0.000012,0.003659
1946,0.000010,0.004026
1947,0.000010,0.004218
1948,0.000014,0.004782
1949,0.000013,0.005233
1950,0.000013,0.005478
1951,0.000009,0.005729
1952,0.000008,0.006168
1953,0.000011,0.006095
1954,0.000011,0.006349
1955,0.000012,0.006588
1956,0.000014,0.006462
1957,0.000014,0.006502
1958,0.000016,0.006198
1959,0.000018,0.006047
1960,0.000019,0.006251
1961,0.000016,0.006252
1962,0.000025,0.006333
1963,0.000021,0.006273
1964,0.000020,0.006263
1965,0.000028,0.006855
1966,0.000022,0.006697
1967,0.000027,0.006544
1968,0.000030,0.006518
1969,0.000028,0.006673
1970,0.000028,0.006526
1971,0.000034,0.006346
1972,0.000042,0.007033
1973,0.000047,0.007852
1974,0.000050,0.007842
1975,0.000055,0.007892
1976,0.000057,0.008146
1977,0.000060,0.008210
1978,0.000056,0.008331
1979,0.000061,0.008572
1980,0.000064,0.008680
1981,0.000062,0.008961
1982,0.000073,0.009311
1983,0.000075,0.010036
1984,0.000077,0.010471
1985,0.000082,0.010802
1986,0.000081,0.010280
1987,0.000073,0.009951
1988,0.000076,0.009393
1989,0.000049,0.009104
1990,0.000037,0.008558
1991,0.000043,0.007937
1992,0.000038,0.007590
1993,0.000034,0.007606
1994,0.000035,0.007547
1995,0.000029,0.007293
1996,0.000021,0.006883
1997,0.000022,0.006602
1998,0.000020,0.006293
1999,0.000017,0.006141
2000,0.000017,0.005906
2001,0.000016,0.005607
2002,0.000010,0.005704
2003,0.000014,0.005536
2004,0.000020,0.005493
2005,0.000013,0.005260
2006,0.000012,0.005074
2007,0.000008,0.005069
2008,0.000013,0.004838
2009,0.000010,0.004597
2010,0.000008,0.004290
2011,0.000007,0.004180
2012,0.000005,0.003905
2013,0.000007,0.003919
