year,Douglass
1880,0
1881,0
1882,0
1883,6
1884,0
1885,0
1886,0
1887,0
1888,7
1889,0
1890,0
1891,0
1892,5
1893,0
1894,0
1895,6
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,9
1908,5
1909,6
1910,5
1911,8
1912,11
1913,22
1914,20
1915,26
1916,37
1917,33
1918,36
1919,49
1920,47
1921,44
1922,44
1923,42
1924,49
1925,38
1926,50
1927,34
1928,31
1929,34
1930,46
1931,39
1932,52
1933,42
1934,47
1935,42
1936,41
1937,46
1938,75
1939,56
1940,55
1941,53
1942,116
1943,86
1944,71
1945,64
1946,83
1947,101
1948,113
1949,132
1950,109
1951,122
1952,122
1953,105
1954,116
1955,99
1956,114
1957,119
1958,96
1959,101
1960,94
1961,90
1962,103
1963,84
1964,78
1965,64
1966,72
1967,66
1968,107
1969,134
1970,138
1971,121
1972,97
1973,77
1974,73
1975,60
1976,46
1977,64
1978,67
1979,55
1980,74
1981,51
1982,42
1983,54
1984,43
1985,51
1986,40
1987,43
1988,52
1989,38
1990,57
1991,34
1992,35
1993,26
1994,22
1995,24
1996,21
1997,17
1998,15
1999,16
2000,16
2001,13
2002,14
2003,12
2004,10
2005,9
2006,5
2007,11
2008,8
2009,7
2010,0
2011,9
2012,9
