year,Donia
1880,0
1881,5
1882,0
1883,0
1884,0
1885,6
1886,5
1887,0
1888,5
1889,9
1890,6
1891,0
1892,6
1893,7
1894,7
1895,0
1896,0
1897,7
1898,0
1899,0
1900,7
1901,6
1902,0
1903,0
1904,0
1905,0
1906,0
1907,5
1908,0
1909,0
1910,5
1911,0
1912,6
1913,0
1914,8
1915,6
1916,7
1917,6
1918,17
1919,12
1920,6
1921,11
1922,7
1923,5
1924,9
1925,0
1926,8
1927,9
1928,11
1929,6
1930,9
1931,7
1932,7
1933,0
1934,7
1935,10
1936,9
1937,0
1938,5
1939,0
1940,8
1941,5
1942,11
1943,9
1944,8
1945,11
1946,8
1947,0
1948,7
1949,8
1950,6
1951,9
1952,0
1953,7
1954,0
1955,9
1956,6
1957,5
1958,8
1959,11
1960,10
1961,11
1962,10
1963,9
1964,11
1965,14
1966,6
1967,13
1968,19
1969,19
1970,38
1971,17
1972,17
1973,17
1974,17
1975,26
1976,10
1977,10
1978,18
1979,11
1980,21
1981,11
1982,7
1983,6
1984,10
1985,11
1986,16
1987,12
1988,15
1989,9
1990,11
1991,17
1992,10
1993,6
1994,12
1995,19
1996,12
1997,22
1998,14
1999,19
2000,28
2001,31
2002,15
2003,11
2004,13
2005,9
2006,15
2007,18
2008,10
2009,6
2010,6
2011,10
2012,6
