year,Dallis
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,9
1915,9
1916,10
1917,6
1918,10
1919,11
1920,5
1921,11
1922,0
1923,11
1924,11
1925,10
1926,13
1927,15
1928,13
1929,14
1930,9
1931,7
1932,13
1933,13
1934,13
1935,14
1936,0
1937,10
1938,16
1939,18
1940,21
1941,19
1942,16
1943,11
1944,7
1945,7
1946,5
1947,10
1948,10
1949,9
1950,6
1951,11
1952,5
1953,9
1954,13
1955,7
1956,0
1957,6
1958,7
1959,5
1960,0
1961,6
1962,0
1963,6
1964,5
1965,6
1966,8
1967,6
1968,8
1969,0
1970,0
1971,6
1972,5
1973,0
1974,0
1975,0
1976,0
1977,5
1978,6
1979,0
1980,8
1981,0
1982,5
1983,0
1984,5
1985,5
1986,5
1987,10
1988,6
1989,8
1990,8
1991,10
1992,26
1993,25
1994,29
1995,44
1996,47
1997,50
1998,34
1999,35
2000,40
2001,27
2002,25
2003,27
2004,31
2005,21
2006,28
2007,27
2008,27
2009,26
2010,34
2011,23
2012,34
