year,Delta
1880,0
1881,0
1882,0
1883,7
1884,8
1885,6
1886,6
1887,0
1888,13
1889,11
1890,6
1891,9
1892,9
1893,17
1894,12
1895,10
1896,19
1897,10
1898,21
1899,18
1900,21
1901,13
1902,17
1903,14
1904,23
1905,15
1906,21
1907,12
1908,32
1909,29
1910,26
1911,25
1912,43
1913,36
1914,48
1915,58
1916,79
1917,60
1918,53
1919,51
1920,50
1921,56
1922,59
1923,56
1924,58
1925,48
1926,45
1927,48
1928,49
1929,36
1930,44
1931,41
1932,33
1933,40
1934,48
1935,36
1936,35
1937,44
1938,43
1939,25
1940,32
1941,28
1942,24
1943,32
1944,31
1945,32
1946,26
1947,24
1948,29
1949,25
1950,19
1951,28
1952,35
1953,29
1954,30
1955,38
1956,43
1957,32
1958,31
1959,37
1960,25
1961,29
1962,21
1963,24
1964,27
1965,21
1966,10
1967,5
1968,20
1969,13
1970,10
1971,12
1972,57
1973,99
1974,88
1975,47
1976,30
1977,25
1978,31
1979,22
1980,18
1981,16
1982,20
1983,16
1984,14
1985,14
1986,20
1987,19
1988,25
1989,22
1990,31
1991,23
1992,16
1993,15
1994,17
1995,9
1996,16
1997,13
1998,9
1999,12
2000,13
2001,12
2002,5
2003,15
2004,15
2005,19
2006,14
2007,6
2008,5
2009,16
2010,8
2011,8
2012,16
