year,Deloris
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,7
1900,8
1901,7
1902,5
1903,12
1904,6
1905,12
1906,8
1907,18
1908,16
1909,26
1910,20
1911,36
1912,47
1913,55
1914,86
1915,107
1916,164
1917,199
1918,201
1919,224
1920,268
1921,372
1922,364
1923,400
1924,420
1925,489
1926,548
1927,561
1928,648
1929,677
1930,890
1931,917
1932,938
1933,909
1934,938
1935,858
1936,867
1937,943
1938,943
1939,836
1940,869
1941,897
1942,856
1943,929
1944,892
1945,826
1946,916
1947,992
1948,944
1949,863
1950,846
1951,788
1952,752
1953,736
1954,697
1955,635
1956,649
1957,556
1958,500
1959,436
1960,428
1961,377
1962,319
1963,288
1964,290
1965,258
1966,233
1967,180
1968,169
1969,153
1970,140
1971,122
1972,104
1973,85
1974,67
1975,74
1976,52
1977,54
1978,32
1979,45
1980,42
1981,44
1982,47
1983,38
1984,29
1985,28
1986,32
1987,24
1988,38
1989,33
1990,20
1991,34
1992,14
1993,28
1994,29
1995,16
1996,17
1997,17
1998,16
1999,16
2000,8
2001,8
2002,5
2003,9
2004,10
2005,7
2006,9
2007,9
2008,10
2009,6
2010,0
2011,9
2012,0
