year,Dulcie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,6
1888,8
1889,15
1890,10
1891,13
1892,15
1893,13
1894,15
1895,12
1896,17
1897,17
1898,19
1899,14
1900,15
1901,7
1902,15
1903,7
1904,6
1905,20
1906,5
1907,7
1908,14
1909,7
1910,8
1911,14
1912,16
1913,20
1914,19
1915,28
1916,22
1917,20
1918,26
1919,25
1920,33
1921,35
1922,32
1923,23
1924,33
1925,22
1926,22
1927,21
1928,24
1929,21
1930,17
1931,20
1932,15
1933,14
1934,10
1935,12
1936,17
1937,14
1938,14
1939,10
1940,13
1941,10
1942,13
1943,9
1944,6
1945,5
1946,10
1947,10
1948,13
1949,15
1950,13
1951,11
1952,11
1953,11
1954,18
1955,10
1956,12
1957,12
1958,10
1959,0
1960,5
1961,6
1962,9
1963,7
1964,8
1965,8
1966,9
1967,8
1968,40
1969,30
1970,23
1971,15
1972,33
1973,26
1974,26
1975,16
1976,9
1977,14
1978,5
1979,9
1980,10
1981,9
1982,7
1983,6
1984,6
1985,5
1986,0
1987,5
1988,5
1989,7
1990,6
1991,0
1992,8
1993,0
1994,7
1995,7
1996,0
1997,0
1998,0
1999,5
2000,6
2001,11
2002,0
2003,8
2004,5
2005,12
2006,5
2007,0
2008,9
2009,5
2010,5
2011,5
2012,5
