year,Dena
1880,13
1881,23
1882,13
1883,16
1884,24
1885,27
1886,32
1887,39
1888,38
1889,30
1890,31
1891,33
1892,45
1893,32
1894,63
1895,36
1896,50
1897,40
1898,48
1899,37
1900,53
1901,41
1902,36
1903,24
1904,39
1905,37
1906,28
1907,38
1908,49
1909,31
1910,30
1911,48
1912,59
1913,62
1914,75
1915,113
1916,96
1917,94
1918,122
1919,104
1920,95
1921,97
1922,83
1923,86
1924,86
1925,91
1926,92
1927,77
1928,64
1929,71
1930,78
1931,76
1932,73
1933,66
1934,49
1935,59
1936,65
1937,64
1938,68
1939,76
1940,73
1941,79
1942,88
1943,84
1944,112
1945,127
1946,123
1947,223
1948,172
1949,178
1950,205
1951,223
1952,229
1953,315
1954,424
1955,467
1956,502
1957,472
1958,517
1959,597
1960,739
1961,769
1962,905
1963,957
1964,912
1965,809
1966,844
1967,959
1968,1025
1969,1264
1970,1540
1971,1181
1972,981
1973,859
1974,839
1975,822
1976,677
1977,582
1978,517
1979,535
1980,530
1981,484
1982,451
1983,416
1984,406
1985,359
1986,273
1987,236
1988,250
1989,225
1990,195
1991,156
1992,142
1993,127
1994,115
1995,126
1996,154
1997,97
1998,100
1999,90
2000,92
2001,70
2002,91
2003,83
2004,65
2005,67
2006,65
2007,58
2008,58
2009,47
2010,50
2011,40
2012,33
