year,Dagny
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,5
1894,0
1895,0
1896,7
1897,8
1898,10
1899,0
1900,11
1901,13
1902,9
1903,7
1904,5
1905,8
1906,9
1907,11
1908,11
1909,5
1910,5
1911,10
1912,15
1913,19
1914,13
1915,26
1916,25
1917,23
1918,20
1919,15
1920,17
1921,14
1922,9
1923,17
1924,9
1925,9
1926,10
1927,11
1928,9
1929,0
1930,7
1931,12
1932,0
1933,0
1934,0
1935,0
1936,6
1937,5
1938,5
1939,6
1940,0
1941,0
1942,0
1943,6
1944,0
1945,0
1946,0
1947,0
1948,6
1949,0
1950,0
1951,5
1952,5
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,7
1962,10
1963,7
1964,7
1965,10
1966,0
1967,8
1968,16
1969,5
1970,8
1971,7
1972,0
1973,7
1974,10
1975,6
1976,7
1977,0
1978,8
1979,6
1980,7
1981,6
1982,8
1983,0
1984,6
1985,6
1986,7
1987,7
1988,8
1989,6
1990,6
1991,5
1992,9
1993,10
1994,9
1995,18
1996,10
1997,10
1998,7
1999,15
2000,18
2001,20
2002,17
2003,24
2004,17
2005,28
2006,27
2007,27
2008,39
2009,43
2010,38
2011,55
2012,63
