year,Darline
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,6
1903,0
1904,0
1905,6
1906,6
1907,6
1908,6
1909,0
1910,10
1911,10
1912,16
1913,16
1914,17
1915,31
1916,32
1917,37
1918,37
1919,38
1920,44
1921,73
1922,62
1923,69
1924,82
1925,90
1926,84
1927,129
1928,87
1929,91
1930,98
1931,95
1932,91
1933,109
1934,93
1935,99
1936,90
1937,77
1938,75
1939,53
1940,65
1941,58
1942,61
1943,69
1944,59
1945,51
1946,76
1947,75
1948,89
1949,68
1950,86
1951,74
1952,81
1953,65
1954,76
1955,94
1956,104
1957,93
1958,94
1959,97
1960,92
1961,83
1962,75
1963,102
1964,77
1965,70
1966,50
1967,45
1968,42
1969,43
1970,39
1971,43
1972,34
1973,21
1974,18
1975,15
1976,13
1977,20
1978,12
1979,16
1980,13
1981,22
1982,18
1983,18
1984,14
1985,11
1986,37
1987,59
1988,55
1989,55
1990,25
1991,24
1992,25
1993,14
1994,19
1995,21
1996,16
1997,14
1998,12
1999,8
2000,12
2001,16
2002,15
2003,9
2004,7
2005,8
2006,13
2007,7
2008,9
2009,7
2010,8
2011,5
2012,7
