year,Denzil
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,5
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,0
1906,8
1907,6
1908,10
1909,9
1910,0
1911,13
1912,14
1913,18
1914,40
1915,56
1916,53
1917,73
1918,72
1919,73
1920,80
1921,74
1922,73
1923,93
1924,78
1925,61
1926,61
1927,69
1928,79
1929,65
1930,51
1931,73
1932,72
1933,69
1934,64
1935,56
1936,63
1937,96
1938,78
1939,51
1940,41
1941,45
1942,60
1943,62
1944,43
1945,58
1946,62
1947,60
1948,40
1949,72
1950,40
1951,52
1952,43
1953,43
1954,52
1955,33
1956,57
1957,48
1958,41
1959,43
1960,33
1961,33
1962,38
1963,30
1964,31
1965,26
1966,22
1967,18
1968,27
1969,18
1970,27
1971,19
1972,26
1973,23
1974,17
1975,19
1976,17
1977,18
1978,22
1979,18
1980,17
1981,11
1982,15
1983,9
1984,15
1985,10
1986,8
1987,14
1988,16
1989,13
1990,23
1991,23
1992,30
1993,19
1994,26
1995,22
1996,15
1997,15
1998,24
1999,5
2000,9
2001,10
2002,10
2003,16
2004,11
2005,10
2006,12
2007,7
2008,14
2009,8
2010,8
2011,6
2012,0
