year,Dillard
1880,10
1881,9
1882,10
1883,10
1884,6
1885,7
1886,8
1887,10
1888,11
1889,5
1890,0
1891,0
1892,12
1893,9
1894,5
1895,6
1896,7
1897,9
1898,14
1899,11
1900,17
1901,11
1902,14
1903,7
1904,8
1905,11
1906,11
1907,18
1908,19
1909,16
1910,9
1911,17
1912,37
1913,31
1914,37
1915,55
1916,41
1917,61
1918,76
1919,76
1920,87
1921,96
1922,74
1923,88
1924,85
1925,89
1926,68
1927,70
1928,83
1929,76
1930,76
1931,64
1932,69
1933,65
1934,82
1935,73
1936,57
1937,66
1938,57
1939,64
1940,51
1941,52
1942,59
1943,61
1944,67
1945,51
1946,62
1947,53
1948,47
1949,45
1950,36
1951,34
1952,30
1953,42
1954,35
1955,43
1956,38
1957,40
1958,36
1959,27
1960,36
1961,30
1962,21
1963,23
1964,24
1965,18
1966,18
1967,21
1968,19
1969,20
1970,24
1971,16
1972,12
1973,16
1974,14
1975,18
1976,9
1977,11
1978,6
1979,12
1980,12
1981,11
1982,7
1983,13
1984,10
1985,0
1986,5
1987,7
1988,7
1989,0
1990,13
1991,13
1992,17
1993,10
1994,10
1995,8
1996,8
1997,7
1998,9
1999,7
2000,0
2001,6
2002,8
2003,8
2004,5
2005,8
2006,0
2007,6
2008,0
2009,0
2010,5
2011,0
2012,6
