year,Donovan
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,8
1901,7
1902,7
1903,9
1904,9
1905,12
1906,9
1907,9
1908,5
1909,8
1910,0
1911,12
1912,26
1913,28
1914,35
1915,45
1916,49
1917,40
1918,46
1919,54
1920,61
1921,69
1922,53
1923,75
1924,64
1925,76
1926,66
1927,78
1928,93
1929,85
1930,93
1931,98
1932,107
1933,80
1934,109
1935,66
1936,79
1937,64
1938,91
1939,79
1940,84
1941,65
1942,65
1943,73
1944,63
1945,58
1946,83
1947,78
1948,78
1949,70
1950,90
1951,89
1952,74
1953,77
1954,75
1955,106
1956,88
1957,116
1958,73
1959,87
1960,75
1961,119
1962,103
1963,102
1964,119
1965,132
1966,176
1967,227
1968,283
1969,487
1970,506
1971,480
1972,410
1973,379
1974,368
1975,339
1976,349
1977,324
1978,300
1979,317
1980,342
1981,295
1982,279
1983,278
1984,340
1985,466
1986,502
1987,639
1988,680
1989,770
1990,856
1991,1063
1992,1183
1993,1150
1994,1108
1995,1085
1996,1203
1997,1457
1998,1552
1999,1642
2000,1729
2001,1665
2002,1970
2003,2218
2004,2065
2005,2181
2006,1966
2007,2044
2008,1790
2009,1739
2010,1644
2011,1360
2012,1269
