year,Diamond
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,6
1898,0
1899,0
1900,0
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,0
1908,6
1909,6
1910,7
1911,0
1912,6
1913,9
1914,0
1915,14
1916,19
1917,18
1918,24
1919,11
1920,21
1921,21
1922,16
1923,15
1924,16
1925,16
1926,17
1927,17
1928,5
1929,11
1930,9
1931,5
1932,9
1933,6
1934,0
1935,0
1936,7
1937,0
1938,0
1939,0
1940,0
1941,0
1942,7
1943,0
1944,5
1945,11
1946,5
1947,7
1948,8
1949,5
1950,8
1951,5
1952,6
1953,0
1954,5
1955,6
1956,14
1957,6
1958,6
1959,13
1960,0
1961,12
1962,0
1963,5
1964,0
1965,6
1966,7
1967,0
1968,17
1969,14
1970,8
1971,14
1972,22
1973,22
1974,31
1975,41
1976,37
1977,53
1978,74
1979,81
1980,88
1981,80
1982,121
1983,111
1984,135
1985,187
1986,211
1987,306
1988,391
1989,526
1990,661
1991,918
1992,1397
1993,1612
1994,1886
1995,1769
1996,1781
1997,1754
1998,1997
1999,2208
2000,2124
2001,1999
2002,1613
2003,1442
2004,1252
2005,1084
2006,1076
2007,938
2008,732
2009,633
2010,492
2011,387
2012,362
