year,Dorothea
1880,16
1881,21
1882,15
1883,30
1884,40
1885,34
1886,35
1887,62
1888,38
1889,56
1890,52
1891,67
1892,65
1893,88
1894,77
1895,76
1896,83
1897,91
1898,114
1899,94
1900,140
1901,109
1902,124
1903,136
1904,168
1905,217
1906,178
1907,239
1908,246
1909,253
1910,307
1911,389
1912,562
1913,658
1914,731
1915,925
1916,1036
1917,1075
1918,1065
1919,1001
1920,1110
1921,1057
1922,931
1923,925
1924,937
1925,890
1926,759
1927,707
1928,629
1929,572
1930,640
1931,505
1932,444
1933,422
1934,440
1935,403
1936,368
1937,309
1938,315
1939,334
1940,350
1941,295
1942,340
1943,333
1944,301
1945,249
1946,287
1947,316
1948,296
1949,343
1950,308
1951,284
1952,319
1953,301
1954,298
1955,311
1956,299
1957,302
1958,296
1959,294
1960,276
1961,310
1962,312
1963,258
1964,255
1965,212
1966,206
1967,184
1968,160
1969,148
1970,130
1971,101
1972,101
1973,66
1974,71
1975,66
1976,56
1977,61
1978,59
1979,58
1980,49
1981,54
1982,48
1983,52
1984,41
1985,42
1986,45
1987,44
1988,51
1989,51
1990,43
1991,38
1992,33
1993,32
1994,31
1995,23
1996,21
1997,27
1998,24
1999,28
2000,18
2001,18
2002,33
2003,26
2004,22
2005,14
2006,20
2007,15
2008,23
2009,21
2010,21
2011,16
2012,19
