year,Domenick
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,0
1904,5
1905,13
1906,6
1907,5
1908,10
1909,9
1910,15
1911,19
1912,40
1913,42
1914,46
1915,72
1916,75
1917,71
1918,64
1919,74
1920,86
1921,83
1922,85
1923,74
1924,98
1925,103
1926,95
1927,87
1928,92
1929,73
1930,68
1931,67
1932,53
1933,50
1934,39
1935,53
1936,34
1937,46
1938,38
1939,38
1940,40
1941,40
1942,46
1943,36
1944,25
1945,35
1946,29
1947,40
1948,45
1949,57
1950,47
1951,40
1952,43
1953,36
1954,38
1955,42
1956,33
1957,58
1958,57
1959,45
1960,50
1961,31
1962,46
1963,37
1964,44
1965,46
1966,44
1967,36
1968,43
1969,34
1970,29
1971,40
1972,32
1973,31
1974,28
1975,30
1976,29
1977,29
1978,30
1979,27
1980,28
1981,31
1982,17
1983,35
1984,33
1985,29
1986,32
1987,35
1988,38
1989,31
1990,29
1991,43
1992,45
1993,63
1994,54
1995,47
1996,49
1997,47
1998,40
1999,56
2000,35
2001,46
2002,46
2003,65
2004,55
2005,51
2006,59
2007,50
2008,50
2009,60
2010,46
2011,55
2012,37
