year,Dorthy
1880,0
1881,0
1882,0
1883,0
1884,0
1885,6
1886,0
1887,6
1888,7
1889,0
1890,7
1891,0
1892,0
1893,0
1894,13
1895,11
1896,7
1897,5
1898,14
1899,15
1900,24
1901,21
1902,21
1903,32
1904,29
1905,28
1906,33
1907,39
1908,47
1909,73
1910,67
1911,57
1912,110
1913,126
1914,143
1915,228
1916,278
1917,322
1918,412
1919,382
1920,437
1921,491
1922,513
1923,523
1924,609
1925,580
1926,656
1927,701
1928,643
1929,613
1930,687
1931,536
1932,587
1933,560
1934,575
1935,539
1936,445
1937,465
1938,429
1939,409
1940,402
1941,363
1942,390
1943,357
1944,380
1945,299
1946,307
1947,309
1948,272
1949,271
1950,230
1951,216
1952,187
1953,188
1954,193
1955,188
1956,177
1957,153
1958,164
1959,130
1960,121
1961,132
1962,86
1963,94
1964,69
1965,84
1966,57
1967,57
1968,47
1969,48
1970,45
1971,48
1972,47
1973,38
1974,30
1975,35
1976,24
1977,27
1978,25
1979,24
1980,33
1981,20
1982,27
1983,18
1984,16
1985,24
1986,19
1987,9
1988,26
1989,18
1990,14
1991,13
1992,14
1993,10
1994,16
1995,13
1996,12
1997,11
1998,16
1999,10
2000,11
2001,10
2002,6
2003,7
2004,7
2005,6
2006,11
2007,6
2008,5
2009,7
2010,8
2011,7
2012,6
