year,Dina
1880,0
1881,0
1882,0
1883,8
1884,0
1885,6
1886,0
1887,10
1888,7
1889,0
1890,9
1891,9
1892,7
1893,8
1894,6
1895,7
1896,9
1897,5
1898,11
1899,0
1900,11
1901,13
1902,10
1903,9
1904,7
1905,9
1906,9
1907,9
1908,13
1909,10
1910,14
1911,22
1912,20
1913,25
1914,29
1915,39
1916,39
1917,41
1918,46
1919,40
1920,36
1921,34
1922,55
1923,34
1924,44
1925,47
1926,39
1927,34
1928,33
1929,40
1930,41
1931,32
1932,30
1933,29
1934,44
1935,34
1936,43
1937,52
1938,35
1939,26
1940,48
1941,50
1942,57
1943,61
1944,65
1945,68
1946,88
1947,82
1948,102
1949,65
1950,109
1951,103
1952,101
1953,104
1954,133
1955,133
1956,204
1957,235
1958,245
1959,323
1960,554
1961,733
1962,1028
1963,1000
1964,949
1965,831
1966,1055
1967,1254
1968,1255
1969,1580
1970,1556
1971,1171
1972,1096
1973,906
1974,810
1975,623
1976,553
1977,469
1978,461
1979,418
1980,422
1981,412
1982,361
1983,326
1984,348
1985,282
1986,287
1987,318
1988,301
1989,276
1990,281
1991,249
1992,246
1993,225
1994,223
1995,192
1996,209
1997,200
1998,200
1999,198
2000,189
2001,189
2002,175
2003,188
2004,197
2005,191
2006,162
2007,154
2008,170
2009,180
2010,169
2011,173
2012,189
