year,Delos
1880,7
1881,0
1882,6
1883,6
1884,5
1885,0
1886,0
1887,6
1888,0
1889,0
1890,9
1891,5
1892,0
1893,0
1894,0
1895,8
1896,6
1897,7
1898,0
1899,0
1900,0
1901,5
1902,0
1903,0
1904,10
1905,5
1906,6
1907,0
1908,6
1909,0
1910,9
1911,0
1912,14
1913,22
1914,26
1915,23
1916,37
1917,36
1918,40
1919,42
1920,35
1921,32
1922,43
1923,49
1924,33
1925,38
1926,34
1927,40
1928,25
1929,36
1930,30
1931,28
1932,37
1933,30
1934,29
1935,26
1936,20
1937,22
1938,23
1939,17
1940,15
1941,20
1942,15
1943,16
1944,13
1945,13
1946,22
1947,7
1948,12
1949,11
1950,10
1951,8
1952,13
1953,12
1954,9
1955,15
1956,10
1957,12
1958,10
1959,16
1960,10
1961,11
1962,0
1963,5
1964,8
1965,0
1966,0
1967,7
1968,0
1969,9
1970,6
1971,0
1972,0
1973,0
1974,0
1975,0
1976,8
1977,0
1978,0
1979,0
1980,6
1981,0
1982,0
1983,0
1984,0
1985,0
1986,5
1987,0
1988,0
1989,0
1990,6
1991,0
1992,0
1993,0
1994,0
1995,0
1996,0
1997,0
1998,0
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
