year,Delilah
1880,10
1881,10
1882,10
1883,11
1884,17
1885,12
1886,15
1887,14
1888,19
1889,20
1890,20
1891,28
1892,20
1893,19
1894,21
1895,15
1896,18
1897,16
1898,28
1899,24
1900,21
1901,16
1902,22
1903,18
1904,20
1905,22
1906,14
1907,12
1908,21
1909,29
1910,30
1911,24
1912,33
1913,49
1914,50
1915,52
1916,65
1917,62
1918,72
1919,64
1920,63
1921,61
1922,61
1923,64
1924,71
1925,50
1926,77
1927,46
1928,59
1929,53
1930,63
1931,53
1932,52
1933,54
1934,53
1935,63
1936,57
1937,55
1938,48
1939,41
1940,40
1941,80
1942,142
1943,78
1944,62
1945,45
1946,52
1947,55
1948,90
1949,96
1950,132
1951,183
1952,228
1953,214
1954,157
1955,146
1956,173
1957,157
1958,132
1959,111
1960,141
1961,106
1962,111
1963,80
1964,66
1965,54
1966,41
1967,53
1968,59
1969,90
1970,169
1971,130
1972,103
1973,157
1974,147
1975,132
1976,136
1977,151
1978,154
1979,196
1980,159
1981,115
1982,159
1983,252
1984,224
1985,237
1986,185
1987,219
1988,192
1989,153
1990,136
1991,151
1992,128
1993,138
1994,133
1995,155
1996,158
1997,225
1998,241
1999,355
2000,358
2001,379
2002,354
2003,437
2004,473
2005,486
2006,538
2007,1135
2008,1737
2009,1695
2010,1662
2011,1824
2012,2086
