year,Dagmar
1880,0
1881,0
1882,0
1883,8
1884,0
1885,8
1886,8
1887,12
1888,15
1889,5
1890,7
1891,10
1892,14
1893,14
1894,13
1895,24
1896,6
1897,16
1898,21
1899,10
1900,13
1901,6
1902,11
1903,12
1904,13
1905,8
1906,16
1907,23
1908,17
1909,18
1910,16
1911,25
1912,25
1913,22
1914,25
1915,45
1916,37
1917,34
1918,28
1919,16
1920,31
1921,30
1922,21
1923,32
1924,14
1925,29
1926,24
1927,26
1928,20
1929,26
1930,21
1931,21
1932,20
1933,10
1934,19
1935,20
1936,8
1937,19
1938,13
1939,13
1940,15
1941,0
1942,10
1943,0
1944,0
1945,8
1946,10
1947,17
1948,10
1949,15
1950,18
1951,28
1952,21
1953,16
1954,21
1955,21
1956,19
1957,19
1958,16
1959,12
1960,17
1961,22
1962,15
1963,19
1964,12
1965,10
1966,11
1967,0
1968,8
1969,11
1970,10
1971,12
1972,6
1973,6
1974,0
1975,6
1976,5
1977,8
1978,5
1979,5
1980,6
1981,0
1982,0
1983,0
1984,0
1985,5
1986,6
1987,7
1988,0
1989,0
1990,7
1991,0
1992,7
1993,10
1994,5
1995,5
1996,5
1997,6
1998,0
1999,5
2000,0
2001,9
2002,0
2003,0
2004,0
2005,0
2006,0
2007,6
2008,0
2009,0
2010,7
2011,0
2012,0
