year,Dessie
1880,36
1881,42
1882,47
1883,39
1884,61
1885,72
1886,52
1887,43
1888,78
1889,70
1890,102
1891,93
1892,97
1893,109
1894,106
1895,98
1896,108
1897,112
1898,110
1899,110
1900,132
1901,107
1902,121
1903,128
1904,125
1905,131
1906,121
1907,140
1908,140
1909,144
1910,164
1911,175
1912,160
1913,197
1914,231
1915,292
1916,294
1917,263
1918,315
1919,288
1920,297
1921,282
1922,282
1923,266
1924,250
1925,228
1926,228
1927,240
1928,208
1929,193
1930,192
1931,172
1932,184
1933,126
1934,137
1935,131
1936,143
1937,128
1938,97
1939,125
1940,100
1941,101
1942,110
1943,87
1944,90
1945,93
1946,76
1947,79
1948,72
1949,91
1950,74
1951,77
1952,61
1953,69
1954,66
1955,61
1956,54
1957,59
1958,50
1959,51
1960,53
1961,50
1962,44
1963,52
1964,33
1965,32
1966,21
1967,24
1968,22
1969,21
1970,22
1971,17
1972,29
1973,25
1974,26
1975,20
1976,13
1977,16
1978,15
1979,21
1980,27
1981,16
1982,22
1983,19
1984,5
1985,19
1986,20
1987,15
1988,12
1989,12
1990,15
1991,16
1992,13
1993,14
1994,9
1995,9
1996,13
1997,6
1998,5
1999,14
2000,10
2001,12
2002,8
2003,9
2004,10
2005,6
2006,14
2007,9
2008,6
2009,8
2010,6
2011,9
2012,6
