year,Dolly
1880,21
1881,33
1882,36
1883,24
1884,36
1885,44
1886,54
1887,32
1888,60
1889,62
1890,57
1891,46
1892,51
1893,49
1894,60
1895,70
1896,63
1897,62
1898,72
1899,70
1900,94
1901,80
1902,85
1903,92
1904,102
1905,102
1906,96
1907,103
1908,124
1909,108
1910,133
1911,138
1912,188
1913,183
1914,202
1915,287
1916,307
1917,287
1918,354
1919,341
1920,348
1921,354
1922,349
1923,350
1924,357
1925,388
1926,396
1927,350
1928,395
1929,392
1930,392
1931,357
1932,363
1933,337
1934,335
1935,335
1936,329
1937,295
1938,232
1939,235
1940,271
1941,274
1942,250
1943,234
1944,243
1945,221
1946,262
1947,262
1948,267
1949,258
1950,262
1951,239
1952,272
1953,240
1954,248
1955,245
1956,248
1957,216
1958,243
1959,206
1960,184
1961,186
1962,162
1963,151
1964,171
1965,155
1966,135
1967,115
1968,113
1969,93
1970,115
1971,133
1972,105
1973,82
1974,89
1975,92
1976,82
1977,99
1978,75
1979,67
1980,72
1981,61
1982,61
1983,54
1984,49
1985,48
1986,54
1987,29
1988,60
1989,39
1990,41
1991,51
1992,33
1993,34
1994,38
1995,27
1996,29
1997,20
1998,23
1999,17
2000,17
2001,15
2002,16
2003,10
2004,15
2005,18
2006,19
2007,17
2008,18
2009,19
2010,26
2011,13
2012,20
