year,Denver
1880,5
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,6
1888,0
1889,7
1890,9
1891,0
1892,0
1893,0
1894,6
1895,12
1896,0
1897,6
1898,8
1899,10
1900,13
1901,11
1902,14
1903,9
1904,14
1905,14
1906,7
1907,19
1908,17
1909,18
1910,23
1911,21
1912,56
1913,81
1914,87
1915,154
1916,122
1917,150
1918,125
1919,193
1920,195
1921,198
1922,180
1923,178
1924,170
1925,208
1926,161
1927,199
1928,167
1929,157
1930,136
1931,120
1932,153
1933,140
1934,128
1935,172
1936,144
1937,165
1938,136
1939,135
1940,142
1941,121
1942,154
1943,144
1944,126
1945,153
1946,168
1947,176
1948,160
1949,153
1950,137
1951,168
1952,140
1953,135
1954,117
1955,137
1956,127
1957,103
1958,120
1959,116
1960,106
1961,103
1962,102
1963,97
1964,124
1965,78
1966,88
1967,98
1968,92
1969,96
1970,86
1971,108
1972,94
1973,90
1974,102
1975,131
1976,117
1977,108
1978,114
1979,129
1980,103
1981,115
1982,124
1983,111
1984,103
1985,93
1986,114
1987,114
1988,106
1989,103
1990,116
1991,123
1992,132
1993,132
1994,174
1995,171
1996,165
1997,175
1998,221
1999,249
2000,204
2001,198
2002,179
2003,189
2004,164
2005,179
2006,186
2007,190
2008,217
2009,179
2010,172
2011,199
2012,203
