year,Donald (F),Donald (M)
1880,0.000000,0.000228
1881,0.000000,0.000140
1882,0.000000,0.000217
1883,0.000000,0.000240
1884,0.000000,0.000242
1885,0.000000,0.000195
1886,0.000000,0.000223
1887,0.000000,0.000243
1888,0.000000,0.000257
1889,0.000000,0.000260
1890,0.000017,0.000362
1891,0.000000,0.000349
1892,0.000000,0.000410
1893,0.000000,0.000510
1894,0.000000,0.000499
1895,0.000000,0.000578
1896,0.000000,0.000590
1897,0.000000,0.000562
1898,0.000000,0.000624
1899,0.000000,0.000761
1900,0.000000,0.000728
1901,0.000000,0.000723
1902,0.000000,0.000946
1903,0.000000,0.000942
1904,0.000000,0.001024
1905,0.000000,0.001005
1906,0.000000,0.001134
1907,0.000000,0.001324
1908,0.000000,0.001359
1909,0.000000,0.001418
1910,0.000010,0.001456
1911,0.000000,0.001979
1912,0.000007,0.002907
1913,0.000012,0.003257
1914,0.000013,0.003415
1915,0.000011,0.003884
1916,0.000011,0.004000
1917,0.000014,0.004349
1918,0.000018,0.004594
1919,0.000020,0.004692
1920,0.000020,0.005277
1921,0.000024,0.005903
1922,0.000024,0.006515
1923,0.000023,0.007138
1924,0.000036,0.007526
1925,0.000045,0.008230
1926,0.000059,0.009104
1927,0.000062,0.010279
1928,0.000075,0.011374
1929,0.000078,0.012400
1930,0.000078,0.013066
1931,0.000076,0.013832
1932,0.000059,0.014101
1933,0.000067,0.014221
1934,0.000053,0.014646
1935,0.000054,0.014193
1936,0.000042,0.013784
1937,0.000038,0.013079
1938,0.000036,0.012051
1939,0.000038,0.010921
1940,0.000036,0.010035
1941,0.000026,0.009287
1942,0.000028,0.008768
1943,0.000024,0.008651
1944,0.000022,0.008721
1945,0.000018,0.008344
1946,0.000023,0.008217
1947,0.000017,0.007844
1948,0.000014,0.007660
1949,0.000019,0.007779
1950,0.000015,0.007699
1951,0.000018,0.007580
1952,0.000019,0.007444
1953,0.000018,0.007353
1954,0.000017,0.007353
1955,0.000017,0.006903
1956,0.000021,0.006842
1957,0.000022,0.006634
1958,0.000023,0.006049
1959,0.000021,0.005743
1960,0.000021,0.005471
1961,0.000018,0.005171
1962,0.000018,0.005060
1963,0.000021,0.004778
1964,0.000017,0.004645
1965,0.000017,0.004424
1966,0.000024,0.004236
1967,0.000025,0.004190
1968,0.000022,0.003958
1969,0.000022,0.003674
1970,0.000018,0.003438
1971,0.000020,0.003168
1972,0.000024,0.002946
1973,0.000025,0.002773
1974,0.000015,0.002552
1975,0.000019,0.002384
1976,0.000019,0.002240
1977,0.000011,0.002162
1978,0.000012,0.002025
1979,0.000019,0.001957
1980,0.000013,0.001821
1981,0.000012,0.001710
1982,0.000013,0.001630
1983,0.000014,0.001539
1984,0.000010,0.001452
1985,0.000010,0.001332
1986,0.000010,0.001311
1987,0.000012,0.001249
1988,0.000010,0.001172
1989,0.000005,0.001125
1990,0.000003,0.001057
1991,0.000002,0.000936
1992,0.000000,0.000851
1993,0.000003,0.000795
1994,0.000001,0.000714
1995,0.000002,0.000616
1996,0.000002,0.000599
1997,0.000002,0.000544
1998,0.000000,0.000506
1999,0.000000,0.000473
2000,0.000000,0.000426
2001,0.000000,0.000393
2002,0.000000,0.000345
2003,0.000000,0.000344
2004,0.000002,0.000327
2005,0.000000,0.000299
2006,0.000000,0.000278
2007,0.000000,0.000250
2008,0.000000,0.000252
2009,0.000000,0.000220
2010,0.000000,0.000207
2011,0.000000,0.000215
2012,0.000000,0.000198
2013,0.000000,0.000195
