year,Doreen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,6
1904,5
1905,6
1906,6
1907,5
1908,6
1909,10
1910,7
1911,9
1912,18
1913,17
1914,23
1915,23
1916,39
1917,45
1918,46
1919,59
1920,70
1921,81
1922,104
1923,177
1924,184
1925,191
1926,212
1927,209
1928,221
1929,239
1930,255
1931,346
1932,296
1933,309
1934,271
1935,276
1936,237
1937,270
1938,330
1939,271
1940,281
1941,297
1942,334
1943,357
1944,379
1945,481
1946,781
1947,853
1948,868
1949,830
1950,756
1951,813
1952,944
1953,1180
1954,1138
1955,1558
1956,2572
1957,2528
1958,2402
1959,2205
1960,1917
1961,1847
1962,1751
1963,1802
1964,1832
1965,1515
1966,1219
1967,1050
1968,910
1969,860
1970,708
1971,556
1972,425
1973,351
1974,317
1975,268
1976,212
1977,186
1978,179
1979,151
1980,145
1981,108
1982,114
1983,120
1984,90
1985,74
1986,79
1987,76
1988,70
1989,71
1990,72
1991,48
1992,67
1993,53
1994,41
1995,35
1996,33
1997,30
1998,31
1999,34
2000,27
2001,34
2002,27
2003,23
2004,23
2005,18
2006,13
2007,26
2008,28
2009,24
2010,18
2011,20
2012,18
