year,Daphne
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,6
1887,6
1888,5
1889,9
1890,15
1891,8
1892,12
1893,10
1894,15
1895,12
1896,15
1897,18
1898,14
1899,12
1900,17
1901,13
1902,16
1903,14
1904,12
1905,10
1906,21
1907,14
1908,20
1909,25
1910,17
1911,18
1912,28
1913,28
1914,37
1915,65
1916,64
1917,68
1918,91
1919,82
1920,104
1921,104
1922,106
1923,107
1924,114
1925,121
1926,106
1927,97
1928,107
1929,91
1930,97
1931,76
1932,85
1933,85
1934,71
1935,71
1936,79
1937,93
1938,50
1939,56
1940,98
1941,111
1942,106
1943,103
1944,113
1945,104
1946,136
1947,178
1948,166
1949,206
1950,253
1951,219
1952,265
1953,259
1954,256
1955,249
1956,262
1957,313
1958,390
1959,319
1960,295
1961,670
1962,1138
1963,927
1964,765
1965,639
1966,614
1967,603
1968,640
1969,640
1970,684
1971,777
1972,555
1973,536
1974,505
1975,383
1976,440
1977,346
1978,301
1979,300
1980,283
1981,273
1982,295
1983,305
1984,281
1985,276
1986,244
1987,238
1988,277
1989,222
1990,268
1991,223
1992,220
1993,210
1994,280
1995,225
1996,241
1997,244
1998,284
1999,323
2000,396
2001,597
2002,465
2003,460
2004,476
2005,519
2006,478
2007,512
2008,571
2009,649
2010,618
2011,672
2012,741
