year,Drucilla
1880,7
1881,7
1882,6
1883,9
1884,5
1885,11
1886,12
1887,6
1888,11
1889,8
1890,11
1891,12
1892,12
1893,9
1894,8
1895,13
1896,11
1897,15
1898,19
1899,11
1900,11
1901,18
1902,16
1903,13
1904,15
1905,12
1906,19
1907,20
1908,18
1909,16
1910,17
1911,23
1912,25
1913,22
1914,21
1915,33
1916,37
1917,35
1918,51
1919,41
1920,45
1921,53
1922,69
1923,48
1924,49
1925,36
1926,53
1927,52
1928,44
1929,39
1930,46
1931,50
1932,41
1933,38
1934,32
1935,35
1936,40
1937,31
1938,42
1939,46
1940,58
1941,47
1942,51
1943,71
1944,74
1945,53
1946,59
1947,79
1948,69
1949,83
1950,80
1951,74
1952,65
1953,74
1954,77
1955,69
1956,63
1957,37
1958,55
1959,38
1960,43
1961,45
1962,30
1963,32
1964,31
1965,8
1966,17
1967,14
1968,13
1969,13
1970,22
1971,15
1972,0
1973,15
1974,11
1975,5
1976,16
1977,19
1978,11
1979,11
1980,10
1981,8
1982,8
1983,12
1984,6
1985,0
1986,6
1987,8
1988,0
1989,6
1990,13
1991,22
1992,42
1993,39
1994,25
1995,21
1996,15
1997,12
1998,16
1999,12
2000,10
2001,8
2002,5
2003,0
2004,0
2005,7
2006,12
2007,0
2008,0
2009,6
2010,0
2011,9
2012,7
