year,Debbie
1880,6
1881,0
1882,0
1883,0
1884,9
1885,0
1886,10
1887,0
1888,7
1889,6
1890,9
1891,7
1892,8
1893,5
1894,11
1895,9
1896,12
1897,0
1898,6
1899,8
1900,5
1901,9
1902,7
1903,9
1904,0
1905,11
1906,7
1907,9
1908,7
1909,0
1910,0
1911,8
1912,11
1913,0
1914,8
1915,13
1916,17
1917,6
1918,13
1919,12
1920,12
1921,5
1922,13
1923,9
1924,8
1925,9
1926,12
1927,14
1928,15
1929,12
1930,13
1931,14
1932,19
1933,20
1934,24
1935,27
1936,26
1937,45
1938,51
1939,57
1940,61
1941,76
1942,88
1943,82
1944,132
1945,142
1946,277
1947,598
1948,836
1949,943
1950,1166
1951,1711
1952,2458
1953,3211
1954,4690
1955,7269
1956,9886
1957,14418
1958,17894
1959,19584
1960,17085
1961,14904
1962,13128
1963,10464
1964,8404
1965,6099
1966,4858
1967,3751
1968,3028
1969,2663
1970,2330
1971,2076
1972,1593
1973,1241
1974,1064
1975,818
1976,701
1977,595
1978,604
1979,557
1980,491
1981,439
1982,413
1983,345
1984,363
1985,310
1986,270
1987,271
1988,261
1989,274
1990,279
1991,229
1992,184
1993,178
1994,175
1995,142
1996,132
1997,125
1998,95
1999,89
2000,75
2001,73
2002,75
2003,67
2004,69
2005,42
2006,62
2007,61
2008,44
2009,43
2010,45
2011,30
2012,34
