year,Drusilla
1880,8
1881,0
1882,0
1883,8
1884,6
1885,0
1886,14
1887,6
1888,11
1889,8
1890,9
1891,9
1892,0
1893,7
1894,5
1895,15
1896,8
1897,0
1898,13
1899,9
1900,10
1901,8
1902,14
1903,14
1904,12
1905,0
1906,7
1907,10
1908,11
1909,20
1910,26
1911,15
1912,30
1913,29
1914,38
1915,28
1916,36
1917,39
1918,36
1919,38
1920,40
1921,30
1922,32
1923,31
1924,35
1925,50
1926,46
1927,42
1928,37
1929,37
1930,32
1931,29
1932,31
1933,21
1934,38
1935,29
1936,31
1937,18
1938,30
1939,37
1940,35
1941,34
1942,35
1943,36
1944,39
1945,24
1946,32
1947,40
1948,42
1949,38
1950,63
1951,69
1952,57
1953,59
1954,59
1955,88
1956,60
1957,58
1958,57
1959,52
1960,57
1961,56
1962,47
1963,43
1964,30
1965,31
1966,31
1967,22
1968,16
1969,15
1970,11
1971,7
1972,9
1973,13
1974,0
1975,8
1976,9
1977,10
1978,9
1979,12
1980,9
1981,10
1982,8
1983,8
1984,0
1985,8
1986,0
1987,6
1988,5
1989,7
1990,13
1991,10
1992,8
1993,14
1994,10
1995,12
1996,9
1997,8
1998,8
1999,7
2000,12
2001,6
2002,0
2003,10
2004,6
2005,0
2006,0
2007,7
2008,0
2009,6
2010,8
2011,0
2012,6
