year,Doretha
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,6
1897,0
1898,0
1899,0
1900,6
1901,0
1902,0
1903,6
1904,5
1905,16
1906,11
1907,12
1908,21
1909,11
1910,21
1911,26
1912,36
1913,33
1914,41
1915,50
1916,57
1917,83
1918,90
1919,104
1920,129
1921,117
1922,114
1923,122
1924,159
1925,158
1926,161
1927,141
1928,163
1929,115
1930,151
1931,160
1932,171
1933,129
1934,154
1935,155
1936,123
1937,146
1938,134
1939,127
1940,154
1941,146
1942,146
1943,128
1944,157
1945,153
1946,136
1947,161
1948,158
1949,157
1950,155
1951,181
1952,172
1953,195
1954,196
1955,190
1956,202
1957,196
1958,184
1959,162
1960,165
1961,147
1962,147
1963,132
1964,110
1965,107
1966,88
1967,71
1968,83
1969,74
1970,66
1971,62
1972,53
1973,43
1974,37
1975,32
1976,36
1977,30
1978,19
1979,22
1980,41
1981,16
1982,22
1983,19
1984,19
1985,13
1986,13
1987,13
1988,17
1989,13
1990,14
1991,14
1992,9
1993,6
1994,6
1995,5
1996,0
1997,0
1998,5
1999,0
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
