year,Dollie
1880,69
1881,90
1882,99
1883,100
1884,93
1885,110
1886,136
1887,103
1888,133
1889,130
1890,130
1891,125
1892,144
1893,152
1894,166
1895,157
1896,167
1897,176
1898,181
1899,148
1900,211
1901,169
1902,176
1903,193
1904,191
1905,200
1906,184
1907,202
1908,187
1909,200
1910,278
1911,196
1912,272
1913,264
1914,305
1915,374
1916,404
1917,391
1918,423
1919,409
1920,395
1921,459
1922,421
1923,410
1924,380
1925,429
1926,349
1927,377
1928,350
1929,336
1930,367
1931,290
1932,300
1933,277
1934,297
1935,279
1936,275
1937,258
1938,245
1939,251
1940,214
1941,209
1942,231
1943,209
1944,224
1945,190
1946,210
1947,192
1948,192
1949,162
1950,172
1951,143
1952,173
1953,145
1954,136
1955,114
1956,123
1957,123
1958,112
1959,99
1960,101
1961,86
1962,77
1963,54
1964,73
1965,64
1966,45
1967,48
1968,36
1969,43
1970,45
1971,37
1972,38
1973,36
1974,35
1975,34
1976,28
1977,23
1978,19
1979,19
1980,32
1981,29
1982,22
1983,25
1984,18
1985,19
1986,13
1987,12
1988,14
1989,10
1990,12
1991,15
1992,11
1993,9
1994,0
1995,7
1996,0
1997,9
1998,10
1999,0
2000,0
2001,0
2002,0
2003,5
2004,0
2005,0
2006,0
2007,0
2008,0
2009,0
2010,0
2011,7
2012,8
