year,Dona
1880,18
1881,24
1882,28
1883,30
1884,34
1885,43
1886,31
1887,41
1888,46
1889,44
1890,52
1891,47
1892,52
1893,36
1894,45
1895,44
1896,35
1897,46
1898,59
1899,43
1900,46
1901,45
1902,60
1903,37
1904,50
1905,51
1906,38
1907,44
1908,32
1909,40
1910,46
1911,47
1912,51
1913,49
1914,62
1915,79
1916,104
1917,107
1918,121
1919,110
1920,114
1921,144
1922,161
1923,188
1924,179
1925,218
1926,295
1927,386
1928,393
1929,363
1930,409
1931,423
1932,429
1933,416
1934,353
1935,287
1936,303
1937,292
1938,292
1939,259
1940,267
1941,297
1942,354
1943,397
1944,359
1945,289
1946,359
1947,394
1948,376
1949,343
1950,378
1951,426
1952,369
1953,403
1954,492
1955,418
1956,425
1957,350
1958,331
1959,349
1960,310
1961,291
1962,281
1963,250
1964,248
1965,198
1966,201
1967,173
1968,151
1969,153
1970,151
1971,117
1972,101
1973,93
1974,74
1975,60
1976,50
1977,54
1978,48
1979,44
1980,56
1981,31
1982,44
1983,32
1984,27
1985,31
1986,23
1987,25
1988,29
1989,30
1990,28
1991,28
1992,27
1993,13
1994,17
1995,13
1996,12
1997,18
1998,14
1999,17
2000,8
2001,16
2002,9
2003,13
2004,11
2005,6
2006,9
2007,10
2008,8
2009,7
2010,13
2011,0
2012,10
