year,Delphine
1880,5
1881,9
1882,10
1883,15
1884,9
1885,5
1886,11
1887,12
1888,14
1889,12
1890,17
1891,10
1892,16
1893,16
1894,21
1895,13
1896,17
1897,18
1898,20
1899,14
1900,36
1901,21
1902,26
1903,20
1904,28
1905,27
1906,30
1907,30
1908,32
1909,37
1910,52
1911,57
1912,77
1913,66
1914,112
1915,123
1916,137
1917,135
1918,125
1919,153
1920,165
1921,201
1922,180
1923,200
1924,222
1925,204
1926,203
1927,237
1928,242
1929,233
1930,247
1931,220
1932,187
1933,185
1934,170
1935,160
1936,163
1937,144
1938,138
1939,126
1940,116
1941,117
1942,111
1943,117
1944,100
1945,89
1946,91
1947,81
1948,95
1949,88
1950,104
1951,142
1952,150
1953,136
1954,139
1955,121
1956,154
1957,132
1958,347
1959,252
1960,192
1961,168
1962,136
1963,92
1964,106
1965,85
1966,55
1967,55
1968,52
1969,44
1970,44
1971,59
1972,40
1973,42
1974,37
1975,32
1976,23
1977,23
1978,21
1979,24
1980,22
1981,15
1982,18
1983,11
1984,11
1985,11
1986,11
1987,16
1988,8
1989,16
1990,6
1991,8
1992,13
1993,11
1994,10
1995,14
1996,7
1997,14
1998,11
1999,9
2000,11
2001,10
2002,7
2003,17
2004,17
2005,12
2006,20
2007,11
2008,18
2009,31
2010,24
2011,26
2012,35
