year,Kizzie
1880,13
1881,9
1882,9
1883,14
1884,9
1885,9
1886,13
1887,17
1888,12
1889,15
1890,15
1891,13
1892,17
1893,16
1894,8
1895,16
1896,20
1897,13
1898,10
1899,11
1900,18
1901,8
1902,15
1903,17
1904,13
1905,11
1906,8
1907,6
1908,12
1909,14
1910,17
1911,15
1912,12
1913,11
1914,17
1915,18
1916,21
1917,20
1918,22
1919,17
1920,18
1921,23
1922,20
1923,17
1924,19
1925,12
1926,13
1927,15
1928,15
1929,12
1930,10
1931,12
1932,0
1933,9
1934,6
1935,5
1936,0
1937,5
1938,10
1939,6
1940,0
1941,0
1942,8
1943,9
1944,7
1945,9
1946,6
1947,0
1948,7
1949,7
1950,5
1951,6
1952,6
1953,5
1954,5
1955,0
1956,0
1957,0
1958,0
1959,7
1960,0
1961,0
1962,0
1963,0
1964,6
1965,0
1966,0
1967,0
1968,0
1969,0
1970,5
1971,5
1972,0
1973,0
1974,0
1975,0
1976,0
1977,286
1978,153
1979,124
1980,76
1981,29
1982,35
1983,24
1984,15
1985,9
1986,18
1987,5
1988,10
1989,10
1990,6
1991,8
1992,0
1993,6
1994,6
1995,0
1996,5
1997,0
1998,6
1999,0
2000,7
2001,0
2002,0
2003,6
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,5
2011,6
2012,0
