year,Katy
1880,7
1881,0
1882,5
1883,0
1884,5
1885,7
1886,6
1887,10
1888,8
1889,6
1890,13
1891,10
1892,8
1893,14
1894,12
1895,17
1896,10
1897,15
1898,7
1899,17
1900,17
1901,16
1902,24
1903,13
1904,15
1905,15
1906,17
1907,24
1908,20
1909,23
1910,16
1911,18
1912,13
1913,28
1914,40
1915,41
1916,44
1917,45
1918,45
1919,66
1920,57
1921,41
1922,51
1923,65
1924,60
1925,65
1926,43
1927,47
1928,52
1929,57
1930,42
1931,49
1932,42
1933,46
1934,48
1935,57
1936,66
1937,59
1938,57
1939,77
1940,81
1941,79
1942,67
1943,69
1944,68
1945,55
1946,75
1947,76
1948,76
1949,60
1950,76
1951,69
1952,61
1953,63
1954,76
1955,66
1956,81
1957,117
1958,147
1959,179
1960,185
1961,171
1962,189
1963,158
1964,160
1965,140
1966,110
1967,91
1968,109
1969,132
1970,165
1971,153
1972,147
1973,163
1974,194
1975,207
1976,219
1977,323
1978,440
1979,461
1980,508
1981,577
1982,563
1983,560
1984,566
1985,654
1986,655
1987,674
1988,587
1989,585
1990,469
1991,430
1992,457
1993,397
1994,349
1995,328
1996,274
1997,279
1998,257
1999,243
2000,220
2001,218
2002,239
2003,233
2004,239
2005,226
2006,210
2007,216
2008,213
2009,194
2010,183
2011,200
2012,164
