year,Katherine (F),Katherine (M)
1880,0.002492,0.000025
1881,0.002616,0.000000
1882,0.002668,0.000000
1883,0.002687,0.000000
1884,0.002756,0.000000
1885,0.003118,0.000000
1886,0.002914,0.000000
1887,0.003209,0.000000
1888,0.002982,0.000000
1889,0.003077,0.000000
1890,0.002986,0.000000
1891,0.002801,0.000017
1892,0.002874,0.000000
1893,0.002961,0.000000
1894,0.002799,0.000000
1895,0.002758,0.000000
1896,0.002929,0.000000
1897,0.002773,0.000000
1898,0.002396,0.000000
1899,0.002777,0.000000
1900,0.002667,0.000000
1901,0.002574,0.000000
1902,0.002596,0.000013
1903,0.002663,0.000013
1904,0.002796,0.000027
1905,0.002807,0.000000
1906,0.002980,0.000000
1907,0.003036,0.000011
1908,0.002926,0.000000
1909,0.003046,0.000016
1910,0.002966,0.000000
1911,0.002884,0.000008
1912,0.002577,0.000000
1913,0.002457,0.000009
1914,0.002578,0.000006
1915,0.002449,0.000004
1916,0.002482,0.000007
1917,0.002470,0.000007
1918,0.002391,0.000006
1919,0.002296,0.000005
1920,0.002332,0.000008
1921,0.002209,0.000005
1922,0.002109,0.000006
1923,0.001989,0.000010
1924,0.001972,0.000008
1925,0.001817,0.000006
1926,0.001670,0.000008
1927,0.001605,0.000008
1928,0.001503,0.000008
1929,0.001376,0.000006
1930,0.001364,0.000010
1931,0.001246,0.000006
1932,0.001227,0.000007
1933,0.001165,0.000007
1934,0.001150,0.000007
1935,0.001119,0.000007
1936,0.001134,0.000006
1937,0.001166,0.000007
1938,0.001164,0.000003
1939,0.001124,0.000006
1940,0.001177,0.000004
1941,0.001233,0.000006
1942,0.001236,0.000005
1943,0.001281,0.000005
1944,0.001310,0.000005
1945,0.001279,0.000005
1946,0.001314,0.000002
1947,0.001356,0.000005
1948,0.001497,0.000003
1949,0.001733,0.000005
1950,0.001771,0.000003
1951,0.001881,0.000002
1952,0.001814,0.000004
1953,0.001702,0.000003
1954,0.001694,0.000004
1955,0.001803,0.000004
1956,0.001718,0.000005
1957,0.001579,0.000004
1958,0.001557,0.000004
1959,0.001477,0.000003
1960,0.001415,0.000006
1961,0.001359,0.000005
1962,0.001306,0.000002
1963,0.001295,0.000005
1964,0.001305,0.000004
1965,0.001298,0.000003
1966,0.001293,0.000005
1967,0.001342,0.000004
1968,0.001397,0.000003
1969,0.001486,0.000005
1970,0.001509,0.000004
1971,0.001492,0.000009
1972,0.001436,0.000004
1973,0.001465,0.000004
1974,0.001490,0.000006
1975,0.001607,0.000006
1976,0.001666,0.000005
1977,0.001899,0.000006
1978,0.002086,0.000008
1979,0.002244,0.000011
1980,0.002328,0.000009
1981,0.002438,0.000009
1982,0.002617,0.000013
1983,0.002795,0.000010
1984,0.002912,0.000014
1985,0.002838,0.000011
1986,0.002973,0.000012
1987,0.002894,0.000012
1988,0.003019,0.000011
1989,0.002969,0.000024
1990,0.002942,0.000008
1991,0.002950,0.000005
1992,0.002903,0.000005
1993,0.002787,0.000005
1994,0.002579,0.000005
1995,0.002454,0.000004
1996,0.002434,0.000004
1997,0.002349,0.000003
1998,0.002231,0.000004
1999,0.002148,0.000002
2000,0.002146,0.000003
2001,0.002105,0.000004
2002,0.001930,0.000003
2003,0.001874,0.000003
2004,0.001764,0.000008
2005,0.001663,0.000004
2006,0.001592,0.000002
2007,0.001456,0.000002
2008,0.001361,0.000002
2009,0.001160,0.000001
2010,0.001047,0.000000
2011,0.001146,0.000001
2012,0.001081,0.000000
2013,0.001022,0.000000
2014,0.000995,0.000002
2015,0.000933,0.000002
2016,0.000893,0.000000
2017,0.000801,0.000000
2018,0.000763,0.000000
2019,0.000705,0.000000
2020,0.000595,0.000000
