year,Katheryn
1880,7
1881,16
1882,10
1883,13
1884,13
1885,12
1886,15
1887,10
1888,14
1889,12
1890,23
1891,13
1892,22
1893,18
1894,21
1895,13
1896,13
1897,21
1898,36
1899,23
1900,34
1901,22
1902,28
1903,27
1904,27
1905,26
1906,35
1907,32
1908,37
1909,34
1910,46
1911,53
1912,61
1913,74
1914,102
1915,150
1916,177
1917,187
1918,181
1919,161
1920,202
1921,179
1922,160
1923,167
1924,191
1925,159
1926,129
1927,125
1928,103
1929,128
1930,99
1931,90
1932,76
1933,78
1934,100
1935,82
1936,83
1937,106
1938,93
1939,84
1940,86
1941,99
1942,113
1943,113
1944,130
1945,106
1946,143
1947,133
1948,147
1949,172
1950,178
1951,192
1952,175
1953,170
1954,187
1955,179
1956,183
1957,154
1958,188
1959,141
1960,139
1961,149
1962,121
1963,135
1964,118
1965,112
1966,94
1967,100
1968,108
1969,114
1970,120
1971,98
1972,81
1973,73
1974,87
1975,95
1976,65
1977,80
1978,126
1979,137
1980,130
1981,126
1982,128
1983,148
1984,170
1985,168
1986,162
1987,180
1988,212
1989,175
1990,212
1991,207
1992,211
1993,174
1994,200
1995,190
1996,187
1997,164
1998,174
1999,142
2000,160
2001,156
2002,144
2003,143
2004,140
2005,133
2006,119
2007,96
2008,117
2009,112
2010,112
2011,82
2012,85
