year,Kate
1880,299
1881,267
1882,293
1883,294
1884,344
1885,309
1886,335
1887,331
1888,360
1889,362
1890,352
1891,305
1892,345
1893,323
1894,328
1895,262
1896,303
1897,267
1898,297
1899,219
1900,297
1901,196
1902,218
1903,202
1904,213
1905,183
1906,196
1907,184
1908,191
1909,183
1910,206
1911,216
1912,260
1913,257
1914,311
1915,344
1916,318
1917,322
1918,302
1919,309
1920,255
1921,289
1922,234
1923,225
1924,222
1925,173
1926,164
1927,151
1928,131
1929,122
1930,110
1931,99
1932,97
1933,83
1934,94
1935,105
1936,95
1937,81
1938,95
1939,107
1940,94
1941,111
1942,102
1943,102
1944,89
1945,76
1946,89
1947,121
1948,109
1949,110
1950,108
1951,112
1952,101
1953,117
1954,103
1955,120
1956,109
1957,162
1958,157
1959,175
1960,207
1961,221
1962,219
1963,210
1964,211
1965,204
1966,181
1967,171
1968,198
1969,226
1970,296
1971,226
1972,258
1973,275
1974,350
1975,477
1976,532
1977,829
1978,1001
1979,1266
1980,1335
1981,1397
1982,1340
1983,1339
1984,1558
1985,1497
1986,1451
1987,1453
1988,1150
1989,1086
1990,1035
1991,979
1992,837
1993,785
1994,752
1995,717
1996,811
1997,893
1998,1139
1999,1400
2000,1396
2001,1632
2002,1668
2003,2054
2004,2227
2005,2409
2006,2441
2007,2549
2008,2418
2009,1984
2010,1488
2011,1787
2012,1634
