year,Kathern
1880,0
1881,0
1882,0
1883,0
1884,6
1885,6
1886,9
1887,0
1888,0
1889,0
1890,5
1891,0
1892,0
1893,10
1894,5
1895,0
1896,0
1897,0
1898,0
1899,9
1900,9
1901,5
1902,7
1903,5
1904,11
1905,11
1906,0
1907,9
1908,8
1909,11
1910,11
1911,11
1912,18
1913,13
1914,20
1915,35
1916,23
1917,26
1918,33
1919,37
1920,39
1921,59
1922,46
1923,53
1924,40
1925,39
1926,42
1927,47
1928,23
1929,34
1930,49
1931,48
1932,42
1933,51
1934,38
1935,38
1936,45
1937,52
1938,55
1939,47
1940,51
1941,50
1942,46
1943,51
1944,43
1945,42
1946,47
1947,57
1948,53
1949,63
1950,78
1951,89
1952,79
1953,76
1954,96
1955,81
1956,68
1957,63
1958,63
1959,50
1960,40
1961,43
1962,38
1963,36
1964,37
1965,30
1966,34
1967,25
1968,32
1969,33
1970,40
1971,24
1972,31
1973,21
1974,19
1975,28
1976,12
1977,16
1978,22
1979,19
1980,16
1981,16
1982,24
1983,15
1984,11
1985,18
1986,16
1987,12
1988,13
1989,10
1990,16
1991,13
1992,13
1993,15
1994,7
1995,0
1996,11
1997,0
1998,8
1999,7
2000,0
2001,0
2002,5
2003,0
2004,0
2005,6
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
