year,Ken
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,7
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,5
1911,6
1912,14
1913,10
1914,11
1915,20
1916,17
1917,21
1918,17
1919,19
1920,32
1921,23
1922,29
1923,30
1924,34
1925,39
1926,54
1927,48
1928,34
1929,57
1930,76
1931,95
1932,127
1933,107
1934,152
1935,168
1936,210
1937,204
1938,252
1939,276
1940,303
1941,344
1942,408
1943,444
1944,427
1945,480
1946,684
1947,707
1948,624
1949,455
1950,347
1951,292
1952,321
1953,316
1954,368
1955,440
1956,655
1957,1181
1958,1526
1959,1663
1960,1777
1961,1664
1962,1693
1963,1633
1964,1476
1965,1100
1966,821
1967,650
1968,601
1969,494
1970,491
1971,362
1972,289
1973,234
1974,202
1975,159
1976,140
1977,124
1978,137
1979,117
1980,142
1981,145
1982,137
1983,104
1984,116
1985,112
1986,101
1987,126
1988,111
1989,137
1990,147
1991,127
1992,113
1993,103
1994,112
1995,126
1996,119
1997,125
1998,104
1999,119
2000,123
2001,124
2002,134
2003,110
2004,153
2005,117
2006,135
2007,120
2008,108
2009,104
2010,68
2011,88
2012,107
