year,Kathyrn
1880,0
1881,0
1882,7
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,5
1903,5
1904,5
1905,6
1906,0
1907,0
1908,7
1909,8
1910,6
1911,7
1912,0
1913,12
1914,16
1915,23
1916,28
1917,25
1918,27
1919,22
1920,18
1921,28
1922,34
1923,30
1924,25
1925,24
1926,15
1927,13
1928,13
1929,27
1930,14
1931,23
1932,16
1933,14
1934,18
1935,16
1936,13
1937,18
1938,18
1939,8
1940,19
1941,20
1942,20
1943,26
1944,34
1945,32
1946,41
1947,41
1948,57
1949,80
1950,85
1951,98
1952,81
1953,104
1954,105
1955,76
1956,78
1957,94
1958,82
1959,61
1960,70
1961,58
1962,51
1963,54
1964,49
1965,28
1966,37
1967,40
1968,35
1969,27
1970,28
1971,37
1972,24
1973,21
1974,25
1975,18
1976,32
1977,27
1978,26
1979,28
1980,28
1981,22
1982,39
1983,43
1984,38
1985,27
1986,30
1987,26
1988,35
1989,22
1990,23
1991,23
1992,21
1993,18
1994,27
1995,15
1996,15
1997,18
1998,13
1999,18
2000,17
2001,14
2002,14
2003,17
2004,11
2005,9
2006,13
2007,7
2008,7
2009,6
2010,0
2011,7
2012,0
