year,Katharina
1880,0
1881,6
1882,5
1883,6
1884,5
1885,7
1886,7
1887,6
1888,10
1889,0
1890,7
1891,6
1892,7
1893,0
1894,5
1895,0
1896,0
1897,0
1898,8
1899,7
1900,0
1901,9
1902,0
1903,6
1904,0
1905,0
1906,5
1907,5
1908,0
1909,0
1910,0
1911,0
1912,6
1913,6
1914,6
1915,7
1916,10
1917,10
1918,0
1919,0
1920,7
1921,12
1922,5
1923,0
1924,6
1925,0
1926,0
1927,0
1928,0
1929,0
1930,7
1931,0
1932,5
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,5
1947,0
1948,0
1949,6
1950,10
1951,10
1952,5
1953,13
1954,12
1955,9
1956,16
1957,17
1958,17
1959,18
1960,20
1961,12
1962,29
1963,23
1964,21
1965,22
1966,28
1967,27
1968,17
1969,28
1970,21
1971,12
1972,17
1973,17
1974,19
1975,15
1976,17
1977,8
1978,16
1979,14
1980,22
1981,24
1982,17
1983,23
1984,20
1985,32
1986,29
1987,25
1988,38
1989,38
1990,36
1991,57
1992,48
1993,58
1994,51
1995,43
1996,43
1997,33
1998,42
1999,38
2000,38
2001,50
2002,50
2003,34
2004,37
2005,39
2006,22
2007,30
2008,26
2009,24
2010,25
2011,16
2012,28
