year,Kennie
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,5
1897,0
1898,0
1899,0
1900,10
1901,0
1902,0
1903,5
1904,0
1905,0
1906,0
1907,6
1908,0
1909,0
1910,0
1911,0
1912,7
1913,0
1914,16
1915,10
1916,7
1917,13
1918,11
1919,9
1920,8
1921,10
1922,7
1923,0
1924,0
1925,7
1926,11
1927,8
1928,9
1929,13
1930,10
1931,12
1932,16
1933,11
1934,6
1935,12
1936,12
1937,10
1938,0
1939,10
1940,13
1941,20
1942,21
1943,18
1944,21
1945,24
1946,27
1947,29
1948,34
1949,21
1950,18
1951,27
1952,31
1953,25
1954,22
1955,30
1956,33
1957,40
1958,38
1959,43
1960,44
1961,36
1962,34
1963,36
1964,33
1965,29
1966,34
1967,22
1968,16
1969,23
1970,25
1971,24
1972,19
1973,11
1974,18
1975,14
1976,13
1977,16
1978,20
1979,17
1980,26
1981,11
1982,18
1983,14
1984,15
1985,13
1986,8
1987,8
1988,11
1989,20
1990,12
1991,9
1992,11
1993,10
1994,10
1995,13
1996,10
1997,9
1998,7
1999,8
2000,8
2001,0
2002,6
2003,5
2004,5
2005,7
2006,6
2007,5
2008,0
2009,6
2010,5
2011,0
2012,0
