year,Kerwin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,5
1914,0
1915,0
1916,7
1917,5
1918,5
1919,11
1920,7
1921,8
1922,9
1923,10
1924,8
1925,8
1926,6
1927,0
1928,9
1929,6
1930,10
1931,6
1932,8
1933,6
1934,5
1935,16
1936,10
1937,6
1938,10
1939,7
1940,16
1941,13
1942,9
1943,7
1944,5
1945,5
1946,12
1947,15
1948,17
1949,14
1950,24
1951,12
1952,16
1953,25
1954,25
1955,32
1956,51
1957,61
1958,49
1959,90
1960,74
1961,66
1962,67
1963,69
1964,53
1965,52
1966,46
1967,41
1968,41
1969,47
1970,40
1971,34
1972,32
1973,32
1974,27
1975,24
1976,25
1977,31
1978,37
1979,36
1980,35
1981,31
1982,38
1983,34
1984,36
1985,29
1986,27
1987,31
1988,39
1989,32
1990,32
1991,28
1992,32
1993,18
1994,14
1995,15
1996,27
1997,20
1998,19
1999,23
2000,24
2001,25
2002,13
2003,19
2004,18
2005,21
2006,18
2007,16
2008,20
2009,13
2010,16
2011,12
2012,13
