year,Katharine
1880,76
1881,68
1882,82
1883,79
1884,86
1885,78
1886,90
1887,110
1888,108
1889,119
1890,119
1891,117
1892,123
1893,128
1894,140
1895,145
1896,151
1897,145
1898,125
1899,104
1900,141
1901,106
1902,89
1903,126
1904,109
1905,121
1906,133
1907,122
1908,155
1909,144
1910,157
1911,148
1912,261
1913,236
1914,290
1915,344
1916,336
1917,357
1918,372
1919,353
1920,349
1921,329
1922,291
1923,266
1924,265
1925,236
1926,214
1927,226
1928,201
1929,195
1930,205
1931,166
1932,178
1933,152
1934,167
1935,170
1936,182
1937,160
1938,164
1939,181
1940,160
1941,223
1942,259
1943,280
1944,257
1945,282
1946,300
1947,350
1948,334
1949,344
1950,374
1951,318
1952,357
1953,338
1954,321
1955,416
1956,405
1957,407
1958,405
1959,365
1960,305
1961,330
1962,291
1963,307
1964,288
1965,288
1966,300
1967,270
1968,370
1969,367
1970,409
1971,320
1972,309
1973,269
1974,344
1975,345
1976,367
1977,435
1978,422
1979,628
1980,571
1981,791
1982,950
1983,839
1984,856
1985,844
1986,909
1987,728
1988,754
1989,628
1990,647
1991,687
1992,708
1993,654
1994,542
1995,465
1996,432
1997,407
1998,452
1999,321
2000,362
2001,334
2002,286
2003,375
2004,323
2005,301
2006,293
2007,256
2008,191
2009,160
2010,127
2011,134
2012,109
