year,Katharyn
1880,0
1881,5
1882,0
1883,0
1884,0
1885,6
1886,0
1887,5
1888,6
1889,5
1890,6
1891,10
1892,0
1893,11
1894,5
1895,0
1896,7
1897,0
1898,7
1899,0
1900,10
1901,0
1902,0
1903,0
1904,8
1905,9
1906,6
1907,9
1908,0
1909,10
1910,9
1911,10
1912,11
1913,17
1914,15
1915,15
1916,23
1917,19
1918,28
1919,19
1920,23
1921,12
1922,20
1923,6
1924,11
1925,12
1926,5
1927,12
1928,14
1929,9
1930,8
1931,8
1932,7
1933,7
1934,9
1935,7
1936,9
1937,8
1938,7
1939,0
1940,7
1941,9
1942,10
1943,10
1944,17
1945,6
1946,8
1947,16
1948,11
1949,21
1950,8
1951,13
1952,13
1953,14
1954,12
1955,13
1956,16
1957,22
1958,13
1959,16
1960,14
1961,7
1962,7
1963,12
1964,8
1965,6
1966,9
1967,6
1968,13
1969,9
1970,6
1971,9
1972,9
1973,9
1974,7
1975,9
1976,9
1977,15
1978,25
1979,17
1980,19
1981,19
1982,28
1983,31
1984,24
1985,30
1986,23
1987,36
1988,28
1989,31
1990,33
1991,27
1992,34
1993,29
1994,31
1995,33
1996,15
1997,22
1998,23
1999,10
2000,16
2001,26
2002,16
2003,10
2004,13
2005,13
2006,13
2007,0
2008,18
2009,5
2010,6
2011,6
2012,0
