year,Katrina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,5
1896,0
1897,6
1898,0
1899,0
1900,0
1901,7
1902,0
1903,0
1904,6
1905,9
1906,0
1907,9
1908,5
1909,6
1910,7
1911,6
1912,13
1913,11
1914,16
1915,15
1916,17
1917,21
1918,17
1919,25
1920,16
1921,28
1922,21
1923,22
1924,14
1925,26
1926,28
1927,19
1928,21
1929,17
1930,20
1931,25
1932,29
1933,34
1934,32
1935,23
1936,23
1937,34
1938,29
1939,49
1940,35
1941,52
1942,47
1943,50
1944,54
1945,61
1946,93
1947,95
1948,111
1949,146
1950,193
1951,199
1952,255
1953,272
1954,278
1955,346
1956,433
1957,486
1958,678
1959,673
1960,770
1961,875
1962,1097
1963,1079
1964,1179
1965,1287
1966,1314
1967,1439
1968,1465
1969,1795
1970,2217
1971,2304
1972,2760
1973,2530
1974,2278
1975,2140
1976,2375
1977,2307
1978,2454
1979,3010
1980,3415
1981,3266
1982,3334
1983,2617
1984,2643
1985,2996
1986,2836
1987,2622
1988,2582
1989,2639
1990,2477
1991,2234
1992,2530
1993,2036
1994,1933
1995,1666
1996,1542
1997,1411
1998,1296
1999,1292
2000,1355
2001,1274
2002,1113
2003,1141
2004,1171
2005,1326
2006,853
2007,504
2008,415
2009,346
2010,310
2011,230
2012,271
